NormalGround,NormalGround1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround2,0,0,-5,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround3,5,0,-5,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround4,5,0,0,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround5,-5,0,0,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround6,-5,0,-5,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar1,-7,0.25,-7.25,0,0,0,1,1,1,0,0,0,0,0
FenceBar,FenceBar1,0,0.25,-7.25,0,0,0,1,1,2.8,0,0,0,90,0
FencePillar,FencePillar2,7,0.25,7.25,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround7,5,0,5,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround8,0,0,5,0,0,0,1,1,1,0,0,0,0,0
NormalGround,NormalGround9,-5,0,5,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar3,0,0.25,-7.25,0,0,0,1,1,1,0,0,0,90,0
FencePillar,FencePillar4,7,0.25,3.75,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar5,7,0.25,-3.75,0,0,0,1,1,1,0,0,0,0,0
MoveGround,MoveGround1,0,0,10.5,0,0,16.5,1,1,1,0.1,60,0,0,0
BoundGround,BoundGround1,5.75,0,10.5,0,0,0,1,1,1,0,0,0,0,0
DropGround,DropGround1,-5,0,10,0,0,0,1,1,1,0.1,60,0,0,0
FencePillar,FencePillar6,7,0.25,-7.25,0,0,0,1,1,1,0,0,0,90,0
FenceBar,FenceBar2,7,0.25,0,0,0,0,1,1,2.9,0,0,0,0,0
FencePillar,FencePillar7,-3.5,0.25,-7.25,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar8,7,0.25,0,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar9,7,0.25,3.75,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar10,7,0.25,-3.75,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar11,-7,0.25,0,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar12,-7,0.25,-3.75,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar13,-7,0.25,3.75,0,0,0,1,1,1,0,0,0,0,0
FencePillar,FencePillar14,-7,0.25,7.25,0,0,0,1,1,1,0,0,0,0,0
FenceBar,FenceBar3,-7,0.25,0,0,0,0,1,1,2.9,0,0,0,0,0
FencePillar,FencePillar15,3.5,0.25,-7.25,0,0,0,1,1,1,0,0,0,0,0
FenceBar,FenceBar16,0,0.25,7.25,0,0,0,1,1,2.8,0,0,0,90,0
